/home/e19063/ChangeDetection-Buddhi
=> merge config from /home/e19063/ChangeDetection-Buddhi/MambaCD/changedetection/configs/vssm1/vssm_small_224.yaml
iter is 3640, overall loss is 1.1669750213623047
iter is 3650, overall loss is 1.0886951684951782
iter is 3660, overall loss is 1.402554988861084
iter is 3670, overall loss is 1.6204410791397095
iter is 3680, overall loss is 1.228074312210083
iter is 3690, overall loss is 1.5920817852020264
iter is 3700, overall loss is 1.2496284246444702
iter is 3710, overall loss is 1.1383880376815796
iter is 3720, overall loss is 1.614232063293457
iter is 3730, overall loss is 1.3885899782180786
iter is 3740, overall loss is 1.6163504123687744
iter is 3750, overall loss is 1.812017798423767
iter is 3760, overall loss is 1.3332442045211792
iter is 3770, overall loss is 1.3227094411849976
iter is 3780, overall loss is 1.3770601749420166
iter is 3790, overall loss is 1.6270947456359863
iter is 3800, overall loss is 1.3608880043029785
iter is 3810, overall loss is 1.6004670858383179
iter is 3820, overall loss is 1.19184410572052
iter is 3830, overall loss is 1.133998155593872
iter is 3840, overall loss is 1.288749098777771
iter is 3850, overall loss is 1.699885368347168
iter is 3860, overall loss is 1.2689470052719116
iter is 3870, overall loss is 1.2765154838562012
iter is 3880, overall loss is 1.5720484256744385
iter is 3890, overall loss is 1.7508432865142822
iter is 3900, overall loss is 1.5308479070663452
iter is 3910, overall loss is 1.2582212686538696
iter is 3920, overall loss is 1.219791293144226
iter is 3930, overall loss is 1.154313087463379
iter is 3940, overall loss is 1.3895454406738281
iter is 3950, overall loss is 1.3917572498321533
iter is 3960, overall loss is 1.1291027069091797
iter is 3970, overall loss is 1.360186219215393
iter is 3980, overall loss is 1.0868141651153564
iter is 3990, overall loss is 1.2487438917160034
iter is 4000, overall loss is 1.3270565271377563
---------starting evaluation-----------
Racall rate is 0.7537930568063234, Precision rate is 0.7611533074998452, OA is 0.886155403137207, F1 score is 0.7574553025464038, IoU is 0.6096000442468522, Kappa coefficient is 0.6830797104467491
iter is 4010, overall loss is 1.4312998056411743
iter is 4020, overall loss is 1.3632547855377197
iter is 4030, overall loss is 1.3043415546417236
iter is 4040, overall loss is 1.0522291660308838
iter is 4050, overall loss is 1.3210705518722534
iter is 4060, overall loss is 1.5181028842926025
iter is 4070, overall loss is 1.311900019645691
iter is 4080, overall loss is 1.5911457538604736
iter is 4090, overall loss is 1.4925360679626465
iter is 4100, overall loss is 1.2267059087753296
iter is 4110, overall loss is 1.4322770833969116
iter is 4120, overall loss is 1.1820893287658691
iter is 4130, overall loss is 1.5806009769439697
iter is 4140, overall loss is 1.4289257526397705
iter is 4150, overall loss is 1.3038548231124878
iter is 4160, overall loss is 1.3611247539520264
iter is 4170, overall loss is 1.5098822116851807
iter is 4180, overall loss is 1.347339153289795
iter is 4190, overall loss is 1.5457590818405151
iter is 4200, overall loss is 1.215111494064331
iter is 4210, overall loss is 1.4931435585021973
iter is 4220, overall loss is 1.2167680263519287
iter is 4230, overall loss is 1.520973801612854
iter is 4240, overall loss is 1.4142111539840698
iter is 4250, overall loss is 1.4965426921844482
iter is 4260, overall loss is 1.1554466485977173
iter is 4270, overall loss is 1.2858242988586426
iter is 4280, overall loss is 1.2935481071472168
iter is 4290, overall loss is 1.070459246635437
iter is 4300, overall loss is 0.9413269758224487
iter is 4310, overall loss is 1.4172723293304443
iter is 4320, overall loss is 1.4562948942184448
iter is 4330, overall loss is 1.5853596925735474
iter is 4340, overall loss is 1.3839739561080933
iter is 4350, overall loss is 1.003262996673584
iter is 4360, overall loss is 1.6030699014663696
iter is 4370, overall loss is 1.6232903003692627
iter is 4380, overall loss is 1.270819067955017
iter is 4390, overall loss is 1.1325327157974243
iter is 4400, overall loss is 1.0495657920837402
iter is 4410, overall loss is 1.4425065517425537
iter is 4420, overall loss is 1.2595231533050537
iter is 4430, overall loss is 1.5059139728546143
iter is 4440, overall loss is 1.3488794565200806
iter is 4450, overall loss is 1.3023860454559326
iter is 4460, overall loss is 1.2118256092071533
iter is 4470, overall loss is 1.3204108476638794
iter is 4480, overall loss is 1.4597278833389282
iter is 4490, overall loss is 1.3014822006225586
iter is 4500, overall loss is 1.2730317115783691
---------starting evaluation-----------
Racall rate is 0.7608625572474119, Precision rate is 0.7728077603683856, OA is 0.8908545188903808, F1 score is 0.7667886403756248, IoU is 0.621782011973342, Kappa coefficient is 0.6955499843918531
iter is 4510, overall loss is 1.2271149158477783
iter is 4520, overall loss is 1.4602545499801636
iter is 4530, overall loss is 1.2048027515411377
iter is 4540, overall loss is 1.3583673238754272
iter is 4550, overall loss is 1.2655755281448364
iter is 4560, overall loss is 1.2302817106246948
iter is 4570, overall loss is 0.9687272310256958
iter is 4580, overall loss is 1.2324187755584717
iter is 4590, overall loss is 1.2632838487625122
iter is 4600, overall loss is 1.4217424392700195
iter is 4610, overall loss is 1.197878122329712
iter is 4620, overall loss is 1.0862959623336792
iter is 4630, overall loss is 1.3591901063919067
iter is 4640, overall loss is 1.4539247751235962
iter is 4650, overall loss is 1.3191405534744263
iter is 4660, overall loss is 1.3131483793258667
iter is 4670, overall loss is 1.1253515481948853
iter is 4680, overall loss is 1.2006548643112183
iter is 4690, overall loss is 0.9402003884315491
iter is 4700, overall loss is 1.4465628862380981
iter is 4710, overall loss is 1.1514495611190796
iter is 4720, overall loss is 1.3190510272979736
iter is 4730, overall loss is 1.7501895427703857
iter is 4740, overall loss is 1.3097939491271973
iter is 4750, overall loss is 1.500127911567688
iter is 4760, overall loss is 1.1332327127456665
iter is 4770, overall loss is 1.1879154443740845
iter is 4780, overall loss is 1.4567897319793701
iter is 4790, overall loss is 1.5948858261108398
iter is 4800, overall loss is 1.3220514059066772
iter is 4810, overall loss is 1.5725735425949097
iter is 4820, overall loss is 1.2441418170928955
iter is 4830, overall loss is 1.2741796970367432
iter is 4840, overall loss is 1.2760618925094604
iter is 4850, overall loss is 1.1715127229690552
iter is 4860, overall loss is 1.2368016242980957
iter is 4870, overall loss is 1.2346848249435425
iter is 4880, overall loss is 1.2293884754180908
iter is 4890, overall loss is 1.3531510829925537
iter is 4900, overall loss is 1.156810998916626
iter is 4910, overall loss is 1.1771597862243652
iter is 4920, overall loss is 1.303315281867981
iter is 4930, overall loss is 1.4387445449829102
iter is 4940, overall loss is 1.284754991531372
iter is 4950, overall loss is 1.5821133852005005
iter is 4960, overall loss is 1.7103915214538574
iter is 4970, overall loss is 1.365638017654419
iter is 4980, overall loss is 1.689079999923706
iter is 4990, overall loss is 1.498193383216858
iter is 5000, overall loss is 0.953100860118866
---------starting evaluation-----------
Racall rate is 0.707137084362563, Precision rate is 0.7958697768287931, OA is 0.8881622200012207, F1 score is 0.7488841841652041, IoU is 0.5985730295204666, Kappa coefficient is 0.6772682079329654
iter is 5010, overall loss is 1.1512408256530762
iter is 5020, overall loss is 1.391127586364746
iter is 5030, overall loss is 1.2833516597747803
iter is 5040, overall loss is 1.1234021186828613
iter is 5050, overall loss is 1.2337183952331543
iter is 5060, overall loss is 1.3189232349395752
iter is 5070, overall loss is 1.119560956954956
iter is 5080, overall loss is 1.249937891960144
iter is 5090, overall loss is 1.3093680143356323
iter is 5100, overall loss is 1.0740635395050049
