/home/e19063/ChangeDetection-Buddhi
=> merge config from /home/e19063/ChangeDetection-Buddhi/MambaCD/changedetection/configs/vssm1/vssm_small_224.yaml
False
iter is 4380, change detection loss is nan, classification loss is nan
iter is 4390, change detection loss is nan, classification loss is nan
iter is 4400, change detection loss is nan, classification loss is nan
iter is 4410, change detection loss is nan, classification loss is nan
iter is 4420, change detection loss is nan, classification loss is nan
iter is 4430, change detection loss is nan, classification loss is nan
iter is 4440, change detection loss is nan, classification loss is nan
iter is 4450, change detection loss is nan, classification loss is nan
iter is 4460, change detection loss is nan, classification loss is nan
iter is 4470, change detection loss is nan, classification loss is nan
iter is 4480, change detection loss is nan, classification loss is nan
iter is 4490, change detection loss is nan, classification loss is nan
iter is 4500, change detection loss is nan, classification loss is nan
---------starting evaluation-----------
Kappa coefficient rate is 0.0, F1 is nan, OA is 0.7993266748565708, mIoU is 0.39966333742828547, SeK is 0.0
iter is 4510, change detection loss is nan, classification loss is nan
iter is 4520, change detection loss is nan, classification loss is nan
iter is 4530, change detection loss is nan, classification loss is nan
iter is 4540, change detection loss is nan, classification loss is nan
iter is 4550, change detection loss is nan, classification loss is nan
iter is 4560, change detection loss is nan, classification loss is nan
iter is 4570, change detection loss is nan, classification loss is nan
iter is 4580, change detection loss is nan, classification loss is nan
iter is 4590, change detection loss is nan, classification loss is nan
iter is 4600, change detection loss is nan, classification loss is nan
iter is 4610, change detection loss is nan, classification loss is nan
iter is 4620, change detection loss is nan, classification loss is nan
iter is 4630, change detection loss is nan, classification loss is nan
iter is 4640, change detection loss is nan, classification loss is nan
iter is 4650, change detection loss is nan, classification loss is nan
iter is 4660, change detection loss is nan, classification loss is nan
iter is 4670, change detection loss is nan, classification loss is nan
iter is 4680, change detection loss is nan, classification loss is nan
iter is 4690, change detection loss is nan, classification loss is nan
iter is 4700, change detection loss is nan, classification loss is nan
iter is 4710, change detection loss is nan, classification loss is nan
iter is 4720, change detection loss is nan, classification loss is nan
iter is 4730, change detection loss is nan, classification loss is nan
iter is 4740, change detection loss is nan, classification loss is nan
iter is 4750, change detection loss is nan, classification loss is nan
iter is 4760, change detection loss is nan, classification loss is nan
iter is 4770, change detection loss is nan, classification loss is nan
iter is 4780, change detection loss is nan, classification loss is nan
iter is 4790, change detection loss is nan, classification loss is nan
iter is 4800, change detection loss is nan, classification loss is nan
iter is 4810, change detection loss is nan, classification loss is nan
iter is 4820, change detection loss is nan, classification loss is nan
iter is 4830, change detection loss is nan, classification loss is nan
iter is 4840, change detection loss is nan, classification loss is nan
iter is 4850, change detection loss is nan, classification loss is nan
iter is 4860, change detection loss is nan, classification loss is nan
iter is 4870, change detection loss is nan, classification loss is nan
iter is 4880, change detection loss is nan, classification loss is nan
iter is 4890, change detection loss is nan, classification loss is nan
iter is 4900, change detection loss is nan, classification loss is nan
iter is 4910, change detection loss is nan, classification loss is nan
iter is 4920, change detection loss is nan, classification loss is nan
iter is 4930, change detection loss is nan, classification loss is nan
iter is 4940, change detection loss is nan, classification loss is nan
iter is 4950, change detection loss is nan, classification loss is nan
