/home/e19063/ChangeDetection-Buddhi
=> merge config from /home/e19063/ChangeDetection-Buddhi/MambaCD/changedetection/configs/vssm1/vssm_small_224.yaml
iter is 2660, overall loss is 0.5481473207473755
iter is 2670, overall loss is 0.6140502691268921
iter is 2680, overall loss is 0.39124810695648193
iter is 2690, overall loss is 0.5476226210594177
iter is 2700, overall loss is 0.49423760175704956
iter is 2710, overall loss is 0.5283048748970032
iter is 2720, overall loss is 0.6606858968734741
iter is 2730, overall loss is 0.608421266078949
iter is 2740, overall loss is 0.8798243999481201
iter is 2750, overall loss is 0.4257476329803467
iter is 2760, overall loss is 0.6556186079978943
iter is 2770, overall loss is 0.7928951978683472
iter is 2780, overall loss is 0.6744816303253174
iter is 2790, overall loss is 0.5777719020843506
iter is 2800, overall loss is 0.5330706834793091
iter is 2810, overall loss is 0.7480853796005249
iter is 2820, overall loss is 0.587972104549408
iter is 2830, overall loss is 0.7123533487319946
iter is 2840, overall loss is 0.8276233673095703
iter is 2850, overall loss is 0.6412774920463562
iter is 2860, overall loss is 0.6435486078262329
iter is 2870, overall loss is 0.819926381111145
iter is 2880, overall loss is 0.6143330335617065
iter is 2890, overall loss is 0.70762038230896
iter is 2900, overall loss is 0.612231433391571
iter is 2910, overall loss is 0.8234143853187561
iter is 2920, overall loss is 0.5774504542350769
iter is 2930, overall loss is 0.43460193276405334
iter is 2940, overall loss is 0.5517009496688843
iter is 2950, overall loss is 0.8157674074172974
iter is 2960, overall loss is 0.6380879878997803
iter is 2970, overall loss is 0.807598352432251
iter is 2980, overall loss is 0.5516713261604309
iter is 2990, overall loss is 0.7232739329338074
iter is 3000, overall loss is 0.4995609521865845
---------starting evaluation-----------
Racall rate is 0.6654159950425841, Precision rate is 0.7585912524564494, OA is 0.8711573753356934, F1 score is 0.7089553146171765, IoU is 0.5491330568522927, Kappa coefficient is 0.6266755630712431
iter is 3010, overall loss is 0.8157598972320557
iter is 3020, overall loss is 0.6067609786987305
iter is 3030, overall loss is 0.42774564027786255
iter is 3040, overall loss is 0.6219754219055176
iter is 3050, overall loss is 0.6531625986099243
iter is 3060, overall loss is 0.42296671867370605
iter is 3070, overall loss is 0.8094891309738159
iter is 3080, overall loss is 0.7015135288238525
iter is 3090, overall loss is 0.4838445484638214
iter is 3100, overall loss is 0.9593467712402344
iter is 3110, overall loss is 0.601904034614563
iter is 3120, overall loss is 0.4286203682422638
iter is 3130, overall loss is 0.6370857357978821
iter is 3140, overall loss is 0.7085700035095215
iter is 3150, overall loss is 0.7187477946281433
iter is 3160, overall loss is 0.8022304773330688
iter is 3170, overall loss is 0.6971955299377441
iter is 3180, overall loss is 0.751981258392334
iter is 3190, overall loss is 0.7004023790359497
iter is 3200, overall loss is 0.7153429985046387
iter is 3210, overall loss is 0.6561568379402161
iter is 3220, overall loss is 0.5290622115135193
iter is 3230, overall loss is 0.5693575143814087
iter is 3240, overall loss is 0.6637083292007446
iter is 3250, overall loss is 0.6339507102966309
iter is 3260, overall loss is 0.5556106567382812
iter is 3270, overall loss is 0.9210596084594727
iter is 3280, overall loss is 0.6268973350524902
iter is 3290, overall loss is 0.7685346603393555
iter is 3300, overall loss is 0.764991044998169
iter is 3310, overall loss is 0.6086424589157104
iter is 3320, overall loss is 0.6612789630889893
iter is 3330, overall loss is 0.4537543058395386
iter is 3340, overall loss is 0.6897871494293213
iter is 3350, overall loss is 1.0367076396942139
iter is 3360, overall loss is 0.8174035549163818
iter is 3370, overall loss is 0.4203410744667053
iter is 3380, overall loss is 1.128438115119934
iter is 3390, overall loss is 0.6071817874908447
iter is 3400, overall loss is 0.6322283744812012
iter is 3410, overall loss is 0.5193436145782471
iter is 3420, overall loss is 0.6902920603752136
iter is 3430, overall loss is 0.5347672700881958
iter is 3440, overall loss is 0.8283378481864929
iter is 3450, overall loss is 0.6567151546478271
iter is 3460, overall loss is 0.5022722482681274
iter is 3470, overall loss is 0.5683507919311523
iter is 3480, overall loss is 0.7344474792480469
iter is 3490, overall loss is 0.5732547044754028
iter is 3500, overall loss is 0.6952542066574097
---------starting evaluation-----------
Racall rate is 0.6868617138112009, Precision rate is 0.7739774984067471, OA is 0.8788502540588379, F1 score is 0.7278220718073806, IoU is 0.5721071366498206, Kappa coefficient is 0.6502626821265001
iter is 3510, overall loss is 0.6482085585594177
iter is 3520, overall loss is 0.775195300579071
iter is 3530, overall loss is 0.6750168204307556
iter is 3540, overall loss is 0.5677744150161743
iter is 3550, overall loss is 0.7358478307723999
iter is 3560, overall loss is 0.3442389965057373
iter is 3570, overall loss is 0.5043286681175232
iter is 3580, overall loss is 0.613978385925293
iter is 3590, overall loss is 0.5892922282218933
iter is 3600, overall loss is 0.402280330657959
iter is 3610, overall loss is 0.5589975714683533
iter is 3620, overall loss is 0.8016505837440491
iter is 3630, overall loss is 0.6279566287994385
iter is 3640, overall loss is 0.5940704345703125
iter is 3650, overall loss is 0.7678600549697876
iter is 3660, overall loss is 0.7909139394760132
iter is 3670, overall loss is 0.6297749280929565
iter is 3680, overall loss is 0.8465811014175415
iter is 3690, overall loss is 0.7185453176498413
iter is 3700, overall loss is 0.7206423282623291
iter is 3710, overall loss is 0.47737717628479004
iter is 3720, overall loss is 0.606276273727417
iter is 3730, overall loss is 0.5760936141014099
iter is 3740, overall loss is 0.9838391542434692
iter is 3750, overall loss is 0.5633264183998108
iter is 3760, overall loss is 0.7486248016357422
iter is 3770, overall loss is 0.5253987908363342
iter is 3780, overall loss is 0.687656044960022
iter is 3790, overall loss is 0.7380895614624023
iter is 3800, overall loss is 0.7205747365951538
iter is 3810, overall loss is 0.4113784730434418
iter is 3820, overall loss is 0.6630182862281799
iter is 3830, overall loss is 0.701683759689331
iter is 3840, overall loss is 0.5037350654602051
iter is 3850, overall loss is 0.6217598915100098
iter is 3860, overall loss is 0.5037122964859009
iter is 3870, overall loss is 0.6853799819946289
iter is 3880, overall loss is 0.37373876571655273
iter is 3890, overall loss is 0.9184911251068115
iter is 3900, overall loss is 0.7963141798973083
iter is 3910, overall loss is 0.7095250487327576
iter is 3920, overall loss is 0.4857376217842102
iter is 3930, overall loss is 0.9842156171798706
iter is 3940, overall loss is 0.7050662636756897
iter is 3950, overall loss is 0.9587597250938416
iter is 3960, overall loss is 0.8431991934776306
iter is 3970, overall loss is 0.5985259413719177
iter is 3980, overall loss is 0.9457054734230042
iter is 3990, overall loss is 0.6071634292602539
iter is 4000, overall loss is 0.7280817031860352
---------starting evaluation-----------
Racall rate is 0.7355396556152669, Precision rate is 0.716608952456994, OA is 0.8690357627868652, F1 score is 0.7259509104935982, IoU is 0.569798225572964, Kappa coefficient is 0.6399291023417641
iter is 4010, overall loss is 0.9858192801475525
iter is 4020, overall loss is 1.1110299825668335
iter is 4030, overall loss is 0.6936788558959961
iter is 4040, overall loss is 0.375866174697876
iter is 4050, overall loss is 0.5555211305618286
iter is 4060, overall loss is 0.6292898058891296
iter is 4070, overall loss is 0.8029460310935974
iter is 4080, overall loss is 0.9084954857826233
iter is 4090, overall loss is 0.6993160247802734
iter is 4100, overall loss is 0.7612051963806152
iter is 4110, overall loss is 0.5261794924736023
iter is 4120, overall loss is 0.7560367584228516
iter is 4130, overall loss is 0.4731883406639099
iter is 4140, overall loss is 0.5109020471572876
iter is 4150, overall loss is 0.6808878183364868
iter is 4160, overall loss is 0.8152223229408264
iter is 4170, overall loss is 0.6993509531021118
iter is 4180, overall loss is 0.7155667543411255
iter is 4190, overall loss is 0.5267570614814758
iter is 4200, overall loss is 0.4769391715526581
iter is 4210, overall loss is 0.607420802116394
iter is 4220, overall loss is 0.5493060350418091
iter is 4230, overall loss is 0.5408751964569092
iter is 4240, overall loss is 0.49148714542388916
iter is 4250, overall loss is 0.7580522298812866
iter is 4260, overall loss is 0.6099075078964233
iter is 4270, overall loss is 0.6350777745246887
iter is 4280, overall loss is 0.6307030320167542
iter is 4290, overall loss is 0.5559760928153992
iter is 4300, overall loss is 0.4115382730960846
iter is 4310, overall loss is 0.5727665424346924
iter is 4320, overall loss is 0.7020172476768494
iter is 4330, overall loss is 0.6304011344909668
iter is 4340, overall loss is 0.7147103548049927
iter is 4350, overall loss is 0.5897694826126099
iter is 4360, overall loss is 0.45214027166366577
iter is 4370, overall loss is 0.7771341800689697
iter is 4380, overall loss is 0.7882486581802368
iter is 4390, overall loss is 0.7391058802604675
iter is 4400, overall loss is 0.434945672750473
iter is 4410, overall loss is 0.6532986164093018
iter is 4420, overall loss is 0.4712941646575928
iter is 4430, overall loss is 0.6826390624046326
iter is 4440, overall loss is 0.41111651062965393
iter is 4450, overall loss is 0.4511961042881012
iter is 4460, overall loss is 0.334096759557724
iter is 4470, overall loss is 0.5404579639434814
iter is 4480, overall loss is 0.5439878702163696
iter is 4490, overall loss is 0.41966986656188965
iter is 4500, overall loss is 0.7938592433929443
---------starting evaluation-----------
Racall rate is 0.743140497252734, Precision rate is 0.7551352308242056, OA is 0.8825965766906738, F1 score is 0.7490898509689278, IoU is 0.5988358568752172, Kappa coefficient is 0.6724666644116134
iter is 4510, overall loss is 0.85882568359375
iter is 4520, overall loss is 0.6508319973945618
iter is 4530, overall loss is 0.381630539894104
iter is 4540, overall loss is 0.4481039047241211
iter is 4550, overall loss is 0.4294135868549347
iter is 4560, overall loss is 0.456998735666275
iter is 4570, overall loss is 1.2181416749954224
iter is 4580, overall loss is 0.7486826181411743
iter is 4590, overall loss is 0.5663423538208008
iter is 4600, overall loss is 0.7939881682395935
iter is 4610, overall loss is 0.6321414113044739
iter is 4620, overall loss is 0.4314831793308258
iter is 4630, overall loss is 0.5685145854949951
iter is 4640, overall loss is 0.4252854883670807
iter is 4650, overall loss is 0.828815221786499
iter is 4660, overall loss is 0.7432305812835693
iter is 4670, overall loss is 0.7513340711593628
iter is 4680, overall loss is 0.4454653263092041
iter is 4690, overall loss is 0.9020683169364929
iter is 4700, overall loss is 0.7358905673027039
iter is 4710, overall loss is 0.7456393241882324
iter is 4720, overall loss is 0.6757907867431641
iter is 4730, overall loss is 0.6621959805488586
iter is 4740, overall loss is 0.5881549119949341
iter is 4750, overall loss is 0.7764078974723816
iter is 4760, overall loss is 0.7844098806381226
iter is 4770, overall loss is 0.5610322952270508
iter is 4780, overall loss is 0.6790913343429565
iter is 4790, overall loss is 0.6013888120651245
iter is 4800, overall loss is 0.6613345146179199
iter is 4810, overall loss is 0.5885803699493408
iter is 4820, overall loss is 0.5264885425567627
iter is 4830, overall loss is 0.939514696598053
iter is 4840, overall loss is 0.3518371284008026
iter is 4850, overall loss is 0.5099233388900757
iter is 4860, overall loss is 0.36706915497779846
iter is 4870, overall loss is 0.5068384408950806
iter is 4880, overall loss is 0.5358907580375671
iter is 4890, overall loss is 0.46314743161201477
iter is 4900, overall loss is 0.6832747459411621
iter is 4910, overall loss is 0.36649733781814575
iter is 4920, overall loss is 0.533015251159668
iter is 4930, overall loss is 0.9168887138366699
iter is 4940, overall loss is 0.4929957985877991
iter is 4950, overall loss is 0.8984215259552002
iter is 4960, overall loss is 0.7096428871154785
iter is 4970, overall loss is 0.49775493144989014
iter is 4980, overall loss is 0.49443039298057556
iter is 4990, overall loss is 0.6872377395629883
iter is 5000, overall loss is 0.8001337647438049
---------starting evaluation-----------
Racall rate is 0.725141200995126, Precision rate is 0.7816497041183232, OA is 0.8874100837707519, F1 score is 0.7523358460398589, IoU is 0.6029954805160601, Kappa coefficient is 0.6796131891460221
iter is 5010, overall loss is 0.5330322980880737
iter is 5020, overall loss is 0.6203610897064209
iter is 5030, overall loss is 0.5900518894195557
iter is 5040, overall loss is 0.7666158080101013
iter is 5050, overall loss is 0.5792410969734192
iter is 5060, overall loss is 0.4513068199157715
iter is 5070, overall loss is 0.5037304162979126
iter is 5080, overall loss is 0.6172831058502197
iter is 5090, overall loss is 0.5239529609680176
iter is 5100, overall loss is 0.44035589694976807
iter is 5110, overall loss is 0.4235736131668091
iter is 5120, overall loss is 0.3149350881576538
iter is 5130, overall loss is 0.7606083154678345
