/home/e19063/ChangeDetection-Buddhi
=> merge config from /home/e19063/ChangeDetection-Buddhi/MambaCD/changedetection/configs/vssm1/vssm_small_224.yaml
iter is 4960, overall loss is 0.24300681054592133
iter is 4970, overall loss is 0.3732258081436157
iter is 4980, overall loss is 0.26661068201065063
iter is 4990, overall loss is 0.265706330537796
iter is 5000, overall loss is 0.2653287351131439
---------starting evaluation-----------
Racall rate is 0.8461798346870528, Precision rate is 0.8755396443371545, OA is 0.9860364124178886, F1 score is 0.8606094088301337, IoU is 0.7553243071337856, Kappa coefficient is 0.8532617214529279
iter is 5010, overall loss is 0.265781432390213
iter is 5020, overall loss is 0.3082735538482666
iter is 5030, overall loss is 0.2980673909187317
iter is 5040, overall loss is 0.25354427099227905
iter is 5050, overall loss is 0.27242428064346313
iter is 5060, overall loss is 0.2611618936061859
iter is 5070, overall loss is 0.3150011897087097
iter is 5080, overall loss is 0.263090044260025
iter is 5090, overall loss is 0.305064857006073
iter is 5100, overall loss is 0.28003284335136414
iter is 5110, overall loss is 0.2788478136062622
iter is 5120, overall loss is 0.31014782190322876
iter is 5130, overall loss is 0.26659059524536133
iter is 5140, overall loss is 0.2852534055709839
iter is 5150, overall loss is 0.33105579018592834
iter is 5160, overall loss is 0.32058101892471313
iter is 5170, overall loss is 0.2929869294166565
iter is 5180, overall loss is 0.29911571741104126
iter is 5190, overall loss is 0.30446097254753113
iter is 5200, overall loss is 0.25644171237945557
iter is 5210, overall loss is 0.2707596719264984
iter is 5220, overall loss is 0.29275938868522644
iter is 5230, overall loss is 0.24954330921173096
iter is 5240, overall loss is 0.34577521681785583
iter is 5250, overall loss is 0.2623077630996704
iter is 5260, overall loss is 0.3089696764945984
iter is 5270, overall loss is 0.2761053442955017
iter is 5280, overall loss is 0.24903319776058197
iter is 5290, overall loss is 0.24150852859020233
iter is 5300, overall loss is 0.2535160779953003
iter is 5310, overall loss is 0.32505327463150024
iter is 5320, overall loss is 0.2684297263622284
iter is 5330, overall loss is 0.27062055468559265
iter is 5340, overall loss is 0.29977625608444214
iter is 5350, overall loss is 0.26666784286499023
iter is 5360, overall loss is 0.27837976813316345
iter is 5370, overall loss is 0.30172109603881836
iter is 5380, overall loss is 0.2887367010116577
iter is 5390, overall loss is 0.2782198190689087
iter is 5400, overall loss is 0.30273497104644775
iter is 5410, overall loss is 0.281605988740921
iter is 5420, overall loss is 0.26641568541526794
iter is 5430, overall loss is 0.2653871178627014
iter is 5440, overall loss is 0.2593909502029419
iter is 5450, overall loss is 0.25628331303596497
iter is 5460, overall loss is 0.2984558343887329
iter is 5470, overall loss is 0.3907823860645294
iter is 5480, overall loss is 0.3359569311141968
iter is 5490, overall loss is 0.285605251789093
iter is 5500, overall loss is 0.35333675146102905
---------starting evaluation-----------
Racall rate is 0.7984746981097167, Precision rate is 0.9031772275366999, OA is 0.9853733107447624, F1 score is 0.8476047929989965, IoU is 0.7355157222536578, Kappa coefficient is 0.8399533381210921
iter is 5510, overall loss is 0.2587301731109619
iter is 5520, overall loss is 0.27049222588539124
iter is 5530, overall loss is 0.28546905517578125
iter is 5540, overall loss is 0.23541024327278137
iter is 5550, overall loss is 0.27506598830223083
iter is 5560, overall loss is 0.2734229266643524
iter is 5570, overall loss is 0.3175985813140869
iter is 5580, overall loss is 0.27351114153862
iter is 5590, overall loss is 0.31271621584892273
iter is 5600, overall loss is 0.28860005736351013
iter is 5610, overall loss is 0.3021373152732849
iter is 5620, overall loss is 0.31295284628868103
iter is 5630, overall loss is 0.30163025856018066
iter is 5640, overall loss is 0.26792749762535095
iter is 5650, overall loss is 0.29656118154525757
